artist,track_name,track_id,album,release_date,popularity
Coldplay,Sparks,7D0RhFcb3CrfPuTJ0obrod,Parachutes,2000-07-10,90
Coldplay,Paradise,6nek1Nin9q48AVZcWs9e9D,Mylo Xyloto,2011-10-24,84
Coldplay,A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,Ghost Stories,2014-05-16,85
Coldplay,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,Memories...Do Not Open,2017-04-07,86
Coldplay,The Scientist,75JFxkI2RXiU7L9VXzMkle,A Rush of Blood to the Head,2002-08-27,88
Coldplay,Clocks,0BCPKOYdS2jbQ8iyB56Zns,A Rush of Blood to the Head,2002-08-27,84
Coldplay,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,Viva La Vida or Death and All His Friends,2008-06-06,86
Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg,Parachutes,2000-07-10,90
The Weeknd,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",2014-06-10,80
The Weeknd,RATHER LIE (with The Weeknd),68qeaZhtMZ6abrJCYt6nQn,MUSIC,2025-03-14,80
The Weeknd,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,"My Dear Melancholy,",2018-03-30,85
The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,91
The Weeknd,Timeless (feat Playboi Carti),0FIDCNYYjNvPVimz5icugS,Hurry Up Tomorrow,2025-01-31,90
The Weeknd,Low Life (feat. The Weeknd),7EiZI6JVHllARrX9PUvAdX,EVOL,2016-04-13,82
The Weeknd,Die For You,2LBqCSwhJGcFQeTHMVGwy3,Starboy,2016-11-24,86
The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,After Hours,2020-03-20,89
The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB,Beauty Behind The Madness,2015-08-28,86
The Weeknd,Starboy,7MXVkk9YMctZqd1Srtv4MB,Starboy,2016-11-25,89
Imagine Dragons,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),2016-06-24,75
Imagine Dragons,Natural,2FY7b99s15jUprqC0M5NCT,Origins (Deluxe),2018-11-09,80
Imagine Dragons,Demons,3LlAyCYU26dvFZBDUIMb7a,Night Visions,2012-09-04,72
Imagine Dragons,Bones,54ipXppHLA8U4yqpOFTUhr,Mercury - Acts 1 & 2,2022-07-01,81
Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP,Evolve,2017-06-23,86
Imagine Dragons,Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb,Evolve,2017-06-23,82
Imagine Dragons,Thunder,1zB4vmk8tFRmM9UULNzbLB,Evolve,2017-06-23,84
Imagine Dragons,Radioactive,4G8gkOterJn0Ywt6uhqbhp,Night Visions,2012-09-04,71
Taylor Swift,The Fate of Ophelia,53iuhJlwXhSER5J2IYYv1W,The Life of a Showgirl,2025-10-03,100
Taylor Swift,Actually Romantic,2x3mwb96B6TquRqMtbxUE1,The Life of a Showgirl,2025-10-03,93
Taylor Swift,Eldest Daughter,62HoDY1Km6lm47haFpUn9c,The Life of a Showgirl,2025-10-03,93
Taylor Swift,Father Figure,03bTIHJElXZ0O0jqOQvAbY,The Life of a Showgirl,2025-10-03,95
Taylor Swift,Opalite,3yWuTOYDztXjZxdE2cIRUa,The Life of a Showgirl,2025-10-03,97
Taylor Swift,CANCELLED!,1appZ3c336FkPvCuywfmrs,The Life of a Showgirl,2025-10-03,93
Taylor Swift,The Life of a Showgirl (feat. Sabrina Carpenter),5eXgqtg3T8Av0m1FUaGHex,The Life of a Showgirl,2025-10-03,94
Taylor Swift,Wi$h Li$t,2TEQvxxQabwLQMqWMg1qGu,The Life of a Showgirl,2025-10-03,93
Taylor Swift,Wood,5ylJtmaWPJ33cW3En7WOu0,The Life of a Showgirl,2025-10-03,93
Taylor Swift,Elizabeth Taylor,1jgTiNob5cVyXeJ3WgX5bL,The Life of a Showgirl,2025-10-03,95
Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,÷ (Deluxe),2017-03-03,88
Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,÷ (Deluxe),2017-03-03,88
Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,=,2021-10-25,82
Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,=,2021-10-25,81
Ed Sheeran,Azizam,0GRc3eGTg8HBdWLRGYgqIc,Azizam,2025-04-04,84
Ed Sheeran,Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,x (Wembley Edition),2013,71
Ed Sheeran,Photograph,6fxVffaTuwjgEk5h9QyRjy,x (Wembley Edition),2013,72
Anitta,São Paulo (feat. Anitta),7DY756WOLyOz2Xnhw4EFiC,Hurry Up Tomorrow,2025-01-31,84
Anitta,Envolver,3IAfUEeaXRX9s9UdKOJrFI,Envolver,2021-11-11,67
Anitta,Gata Only (Remix),0JGTfiC4Z41GEEpMYLbWwO,Gata Only (Remix),2024-06-07,80
Anitta,Illegal + Anitta,3RxyxKUWxP3jJjfRd5ozr6,Fancy Some More?,2025-10-10,62
Anitta,BELLAKEO,05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,2023-12-07,71
Anitta,Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Downtown,2017-11-19,77
Anitta,São Paulo (feat. Anitta) - Single Version,2HXQL06smXD4evuW7MLY4X,São Paulo,2025-09-19,70
Anitta,São Paulo (feat. Anitta),1QDxMdjfamgKvm4hNCvPG7,Hurry Up Tomorrow,2025-01-30,69
Anitta,BELLAKEO,5Fohh8kl8403DSoq4KH7Ll,ÉXODO,2024-06-20,64
Jorge & Mateus,Cantada Boba - Ao Vivo,2gfn28JSINCJGLrUimmu0l,Check-In (Ao Vivo),2024-11-07,78
Jorge & Mateus,Logo Eu,2655xYZ347fG2N6OjkoMQ8,Os Anjos Cantam,2015-03-23,75
Jorge & Mateus,Os Anjos Cantam,6ccKu0LwJzOhLAxBwP2PTk,Os Anjos Cantam,2015-03-23,70
Jorge & Mateus,Pra Sempre Com Você - Ao Vivo,2KGv51jgAz8OTjNPyRryfq,Como. Sempre Feito. Nunca (Ao Vivo),2016-02-19,70
Jorge & Mateus,Inventor dos Amores (feat. Jorge & Mateus) - Ao Vivo,3Q8cDYX0CYQWgcXmAFwXsN,Inventor dos Amores (Ao Vivo),2010-09-25,65
Jorge & Mateus,Marca Evidente - Ao Vivo,3aDV90V6vHUSYKKYDLNdQ8,Marca Evidente,2012,71
Jorge & Mateus,Amo Noite E Dia - Ao Vivo,3bUgJQ5ykYds62eDO3R0rN,Jorge & Mateus - Essencial,2012-03-10,37
Jorge & Mateus,Quarta Cadeira - Ao Vivo,5q0NlM6Pm8Pp3orq7zGiRn,Tem Moda Pra Tudo (Ao Vivo),2019-03-22,75
Jorge & Mateus,De Tanto Te Querer - Ao Vivo Em Goiânia / 2007,28CSVlpd6z1KZsUEd1w4jN,Jorge & Mateus Ao Vivo Em Goiânia (Ao Vivo Em Goiânia / 2007),2007-05-08,66
Jorge & Mateus,A Grama do Vizinho - Ao Vivo,4gBLQeJrre7DklMZIaPXPd,"Evolução, Vol. 1 (Ao Vivo)",2025-06-26,72
Luan Santana,OLHO MARROM - Ao Vivo em Lisboa,1I6TdHxz61Kf9EFje0dQvg,OLHO MARROM - Ao Vivo em Lisboa,2025-10-03,79
Luan Santana,Quarto 67 - Ao Vivo,22E5DzxkTROdxSmSz3kaIo,Quarto 67 (Ao Vivo),2025-09-17,69
Luan Santana,DONA - Ao Vivo,6v46jy0bNem1EIbjtfJyee,DONA (Ao Vivo),2025-04-24,71
Luan Santana,¿Qué tal te va? (feat. Luan Santana) - Versión en portugués,08AlcSpItIXA4jL2rcNrUi,¿Qué tal te va? (feat. Luan Santana),2025-10-02,58
Luan Santana,"Eu, Você, O Mar e Ela",000xYdQfIZ4pDmBGzQalKU,1977,2016-11-04,68
Luan Santana,Tudo Que Você Quiser - Ao Vivo,4JSROzfWqKccwZ68DX1aJe,O Nosso Tempo É Hoje (ao Vivo),2013-10-21,70
